order_id,customer_id,order_date,product_name,category,quantity,unit_price,total_amount,status
ORD-0000050,CUST-005543,2026-02-05,Mechanical Keyboard,Electronics,5,96.29,481.45,Returned
ORD-0000051,CUST-003176,2023-12-31,Mechanical Keyboard,Electronics,5,85.88,429.4,Completed
ORD-0000052,CUST-001818,2023-01-05,USB-C Hub,Electronics,1,53.74,53.74,Shipped
ORD-0000053,CUST-008543,2025-05-01,Laptop Stand,Office,5,43.02,215.1,Completed
ORD-0000054,CUST-002314,2025-06-01,Laptop Stand,Office,3,44.37,133.11,Completed
ORD-0000055,CUST-007023,2024-04-13,Webcam,Electronics,2,66.9,133.8,Returned
ORD-0000056,CUST-003826,2026-07-28,Noise-Canceling Headphones,Electronics,3,176.76,530.28,Cancelled
ORD-0000057,CUST-008857,2020-10-19,Laptop Stand,Office,5,42.44,212.2,Cancelled
ORD-0000058,CUST-008722,2026-04-12,Wireless Mouse,Electronics,1,32.72,32.72,Shipped
ORD-0000059,CUST-006449,2023-07-21,Backpack,Lifestyle,6,63.57,381.42,Processing
ORD-0000060,CUST-007971,2025-04-28,Desk Organizer,Office,4,26.04,104.16,Completed
ORD-0000061,CUST-001839,2026-08-31,Webcam,Electronics,4,72.8,291.2,Completed
ORD-0000062,CUST-005847,2024-10-03,Noise-Canceling Headphones,Electronics,2,180.33,360.66,Completed
ORD-0000063,CUST-001734,2026-08-01,Backpack,Lifestyle,5,61,305,Shipped
ORD-0000064,CUST-006181,2026-01-01,Webcam,Electronics,2,72.61,145.22,Completed
ORD-0000065,CUST-001180,2025-11-19,Desk Organizer,Office,5,26.47,132.35,Cancelled
ORD-0000066,CUST-002476,2022-02-04,Wireless Mouse,Electronics,6,31.39,188.34,Returned
ORD-0000067,CUST-009471,2026-01-26,Standing Desk,Furniture,1,378.95,378.95,Processing
ORD-0000068,CUST-006753,2022-07-23,Webcam,Electronics,4,78.66,314.64,Completed
ORD-0000069,CUST-004381,2026-04-05,Desk Organizer,Office,3,24.83,74.49,Completed
ORD-0000070,CUST-004458,2023-03-25,Desk Organizer,Office,5,26.85,134.25,Processing
ORD-0000071,CUST-003333,2023-02-24,Mechanical Keyboard,Electronics,6,83.06,498.36,Cancelled
ORD-0000072,CUST-005273,2026-07-13,Ergonomic Chair,Furniture,2,268.64,537.28,Returned
ORD-0000073,CUST-002572,2023-08-25,Notebook Set,Stationery,6,11.79,70.74,Returned
ORD-0000074,CUST-002188,2025-08-12,Desk Organizer,Office,4,23.48,93.92,Processing
ORD-0000075,CUST-007959,2026-01-10,Water Bottle,Lifestyle,2,17.65,35.3,Completed
ORD-0000076,CUST-003658,2024-04-24,Water Bottle,Lifestyle,4,18.41,73.64,Processing
ORD-0000077,CUST-003464,2026-02-15,USB-C Hub,Electronics,5,47.8,239,Cancelled
ORD-0000078,CUST-006209,2024-08-16,Ergonomic Chair,Furniture,4,232.59,930.36,Completed
ORD-0000079,CUST-005962,2025-10-19,Backpack,Lifestyle,3,61.84,185.52,Shipped
ORD-0000080,CUST-007323,2025-02-17,Wireless Mouse,Electronics,4,27.94,111.76,Shipped
ORD-0000081,CUST-007420,2025-07-13,Wireless Mouse,Electronics,5,31.7,158.5,Cancelled
ORD-0000082,CUST-000947,2023-08-03,Water Bottle,Lifestyle,1,17.77,17.77,Shipped
ORD-0000083,CUST-008070,2025-09-22,Ergonomic Chair,Furniture,3,238.33,714.99,Shipped
ORD-0000084,CUST-000478,2026-05-02,Backpack,Lifestyle,2,63.65,127.3,Shipped
ORD-0000085,CUST-006660,2026-08-01,Desk Organizer,Office,5,23.81,119.05,Processing
ORD-0000086,CUST-006560,2023-12-18,Mechanical Keyboard,Electronics,2,86.69,173.38,Completed
ORD-0000087,CUST-006386,2024-04-14,Ergonomic Chair,Furniture,5,237.56,1187.8,Completed
ORD-0000088,CUST-009540,2025-10-22,Mechanical Keyboard,Electronics,2,90.05,180.1,Shipped
ORD-0000089,CUST-007581,2024-05-26,Ergonomic Chair,Furniture,3,266.78,800.34,Cancelled
ORD-0000090,CUST-008924,2023-12-03,Webcam,Electronics,3,71.95,215.85,Completed
ORD-0000091,CUST-000776,2025-11-14,Ergonomic Chair,Furniture,4,272.69,1090.76,Shipped
ORD-0000092,CUST-004681,2025-05-06,Wireless Mouse,Electronics,4,31.68,126.72,Completed
ORD-0000093,CUST-006206,2024-01-17,Standing Desk,Furniture,4,383.61,1534.44,Shipped
ORD-0000094,CUST-007736,2025-12-31,Laptop Stand,Office,4,46.24,184.96,Completed
ORD-0000095,CUST-008376,2026-04-26,Mechanical Keyboard,Electronics,5,82.61,413.05,Shipped
ORD-0000096,CUST-009493,2024-04-18,Mechanical Keyboard,Electronics,4,86.55,346.2,Completed
ORD-0000097,CUST-006759,2026-08-08,Ergonomic Chair,Furniture,2,265.17,530.34,Completed
ORD-0000098,CUST-002743,2025-07-15,Notebook Set,Stationery,2,11.85,23.7,Cancelled
ORD-0000099,CUST-006237,2025-10-02,Standing Desk,Furniture,4,400.88,1603.52,Completed
ORD-0000100,CUST-008783,2026-04-13,Ergonomic Chair,Furniture,6,252.38,1514.28,Processing
ORD-0000101,CUST-003367,2022-06-18,Webcam,Electronics,2,77.77,155.54,Returned
ORD-0000102,CUST-008103,2022-11-05,Notebook Set,Stationery,3,11.56,34.68,Cancelled
ORD-0000103,CUST-007078,2024-05-26,Desk Organizer,Office,5,23.03,115.15,Processing
ORD-0000104,CUST-004488,2024-12-16,Webcam,Electronics,5,78.76,393.8,Completed
ORD-0000105,CUST-004879,2026-08-10,Mechanical Keyboard,Electronics,5,82.77,413.85,Shipped
ORD-0000106,CUST-004859,2026-03-14,Laptop Stand,Office,3,41.64,124.92,Completed
ORD-0000107,CUST-008179,2026-07-20,Webcam,Electronics,3,76.53,229.59,Completed
ORD-0000108,CUST-009722,2026-07-06,Desk Organizer,Office,2,24.59,49.18,Completed
ORD-0000109,CUST-002819,2026-07-06,Desk Organizer,Office,4,24.02,96.08,Shipped
ORD-0000110,CUST-001548,2025-10-01,Ergonomic Chair,Furniture,2,235.34,470.68,Returned
ORD-0000111,CUST-003390,2025-12-19,Mechanical Keyboard,Electronics,1,92.18,92.18,Completed
ORD-0000112,CUST-000941,2026-05-02,Standing Desk,Furniture,2,367.38,734.76,Cancelled
ORD-0000113,CUST-002459,2025-12-29,Laptop Stand,Office,5,45.65,228.25,Completed
ORD-0000114,CUST-002931,2026-01-20,Noise-Canceling Headphones,Electronics,1,166.92,166.92,Processing
ORD-0000115,CUST-008268,2022-10-30,Laptop Stand,Office,2,40.73,81.46,Completed
ORD-0000116,CUST-008238,2025-02-05,Ergonomic Chair,Furniture,4,263.16,1052.64,Shipped
ORD-0000117,CUST-007020,2026-07-09,Ergonomic Chair,Furniture,2,251.63,503.26,Completed
ORD-0000118,CUST-006849,2026-05-25,USB-C Hub,Electronics,6,50.31,301.86,Shipped
ORD-0000119,CUST-008338,2025-05-17,Notebook Set,Stationery,3,11.92,35.76,Processing
ORD-0000120,CUST-003757,2023-12-23,Desk Organizer,Office,3,22.53,67.59,Shipped
ORD-0000121,CUST-004991,2025-03-30,Desk Organizer,Office,3,26.14,78.42,Shipped
ORD-0000122,CUST-009200,2024-02-05,Water Bottle,Lifestyle,6,17.64,105.84,Shipped
ORD-0000123,CUST-000482,2026-09-05,Desk Organizer,Office,6,24.63,147.78,Returned
ORD-0000124,CUST-008242,2022-05-28,Laptop Stand,Office,5,42.99,214.95,Processing
ORD-0000125,CUST-000586,2024-03-18,Backpack,Lifestyle,1,60.2,60.2,Shipped
ORD-0000126,CUST-007050,2024-09-30,Webcam,Electronics,5,70.94,354.7,Completed
ORD-0000127,CUST-007448,2025-04-09,Wireless Mouse,Electronics,2,30.12,60.24,Processing
ORD-0000128,CUST-005700,2026-08-23,Water Bottle,Lifestyle,1,18.83,18.83,Processing
ORD-0000129,CUST-007311,2026-06-25,Notebook Set,Stationery,2,13.53,27.06,Completed
ORD-0000130,CUST-009860,2023-07-25,Notebook Set,Stationery,2,12.07,24.14,Processing
ORD-0000131,CUST-005490,2026-03-13,Desk Organizer,Office,6,26.11,156.66,Processing
ORD-0000132,CUST-006196,2024-07-25,Ergonomic Chair,Furniture,6,255.85,1535.1,Completed
ORD-0000133,CUST-004668,2025-11-27,Desk Organizer,Office,4,23.28,93.12,Shipped
ORD-0000134,CUST-008840,2023-09-17,Mechanical Keyboard,Electronics,3,95.09,285.27,Completed
ORD-0000135,CUST-005125,2025-09-11,Notebook Set,Stationery,3,13.75,41.25,Completed
ORD-0000136,CUST-006770,2024-05-18,Noise-Canceling Headphones,Electronics,4,180.68,722.72,Returned
ORD-0000137,CUST-007976,2021-12-22,Desk Organizer,Office,1,22.56,22.56,Completed
ORD-0000138,CUST-004436,2023-10-14,Webcam,Electronics,2,74.35,148.7,Processing
ORD-0000139,CUST-005025,2026-08-01,Mechanical Keyboard,Electronics,3,94.7,284.1,Processing
ORD-0000140,CUST-000484,2024-06-06,Notebook Set,Stationery,5,11.79,58.95,Completed
ORD-0000141,CUST-001323,2026-05-28,USB-C Hub,Electronics,1,47.84,47.84,Returned
ORD-0000142,CUST-001925,2026-08-13,Webcam,Electronics,6,71.05,426.3,Completed
ORD-0000143,CUST-009025,2025-08-09,Mechanical Keyboard,Electronics,6,87.75,526.5,Returned
ORD-0000144,CUST-003582,2021-08-09,Notebook Set,Stationery,3,12.05,36.15,Processing
ORD-0000145,CUST-003638,2024-11-01,Ergonomic Chair,Furniture,2,247.86,495.72,Returned
ORD-0000146,CUST-005158,2025-03-14,Ergonomic Chair,Furniture,1,229.13,229.13,Shipped
ORD-0000147,CUST-006260,2026-01-28,Backpack,Lifestyle,5,64.15,320.75,Completed
ORD-0000148,CUST-000790,2026-08-17,Backpack,Lifestyle,3,60.63,181.89,Completed
ORD-0000149,CUST-007892,2025-05-15,Standing Desk,Furniture,2,363.5,727,Completed
ORD-0000150,CUST-008403,2021-10-25,Notebook Set,Stationery,1,12.27,12.27,Cancelled
ORD-0000151,CUST-004430,2026-06-14,Standing Desk,Furniture,2,399.09,798.18,Shipped
ORD-0000152,CUST-008732,2022-08-30,Ergonomic Chair,Furniture,2,227.71,455.42,Processing
ORD-0000153,CUST-003422,2023-03-08,Mechanical Keyboard,Electronics,1,85,85,Shipped
ORD-0000154,CUST-006336,2025-08-18,Wireless Mouse,Electronics,2,32.8,65.6,Processing
ORD-0000155,CUST-006183,2025-01-19,USB-C Hub,Electronics,4,50.61,202.44,Returned
ORD-0000156,CUST-007472,2025-06-06,Ergonomic Chair,Furniture,5,245.37,1226.85,Processing
ORD-0000157,CUST-001376,2024-09-20,Ergonomic Chair,Furniture,3,232.74,698.22,Cancelled
ORD-0000158,CUST-002140,2022-12-16,Ergonomic Chair,Furniture,6,262.91,1577.46,Completed
ORD-0000159,CUST-008627,2022-05-07,USB-C Hub,Electronics,5,48.22,241.1,Processing
ORD-0000160,CUST-000181,2024-01-13,Notebook Set,Stationery,4,11.6,46.4,Processing
ORD-0000161,CUST-003295,2026-07-16,Laptop Stand,Office,6,47.25,283.5,Completed
ORD-0000162,CUST-003737,2025-12-25,Ergonomic Chair,Furniture,6,272.63,1635.78,Returned
ORD-0000163,CUST-005969,2021-06-21,Laptop Stand,Office,6,41.77,250.62,Cancelled
ORD-0000164,CUST-000935,2026-08-24,Laptop Stand,Office,1,44.53,44.53,Shipped
ORD-0000165,CUST-002806,2023-12-26,Notebook Set,Stationery,1,13.69,13.69,Shipped
ORD-0000166,CUST-008144,2025-11-06,Noise-Canceling Headphones,Electronics,2,196.32,392.64,Shipped
ORD-0000167,CUST-005276,2026-04-05,Laptop Stand,Office,2,45.89,91.78,Processing
ORD-0000168,CUST-000626,2026-07-24,Backpack,Lifestyle,6,60.37,362.22,Completed
ORD-0000169,CUST-000448,2025-09-27,Wireless Mouse,Electronics,2,31.7,63.4,Cancelled
ORD-0000170,CUST-003954,2025-03-28,Notebook Set,Stationery,3,13.4,40.2,Processing
ORD-0000171,CUST-005361,2025-09-14,Ergonomic Chair,Furniture,2,239.17,478.34,Completed
ORD-0000172,CUST-001011,2025-06-25,Webcam,Electronics,6,79.94,479.64,Completed
ORD-0000173,CUST-001622,2023-03-30,Standing Desk,Furniture,1,434.31,434.31,Processing
ORD-0000174,CUST-001941,2023-07-31,Ergonomic Chair,Furniture,6,241.02,1446.12,Cancelled
ORD-0000175,CUST-008793,2026-05-15,Notebook Set,Stationery,6,11.87,71.22,Completed
ORD-0000176,CUST-006875,2026-08-21,Backpack,Lifestyle,4,58.52,234.08,Completed
ORD-0000177,CUST-007666,2025-12-03,Standing Desk,Furniture,4,360.19,1440.76,Shipped
ORD-0000178,CUST-003788,2024-12-30,Noise-Canceling Headphones,Electronics,1,186.2,186.2,Shipped
ORD-0000179,CUST-007037,2026-03-24,Laptop Stand,Office,6,44.72,268.32,Processing
ORD-0000180,CUST-006328,2025-12-18,Webcam,Electronics,3,71.56,214.68,Shipped
ORD-0000181,CUST-000050,2025-12-01,Laptop Stand,Office,4,43.17,172.68,Processing
ORD-0000182,CUST-008949,2024-07-03,Noise-Canceling Headphones,Electronics,1,184.89,184.89,Completed
ORD-0000183,CUST-008717,2023-12-06,Laptop Stand,Office,6,42.8,256.8,Shipped
ORD-0000184,CUST-009220,2026-02-03,Webcam,Electronics,6,76.43,458.58,Completed
ORD-0000185,CUST-007706,2024-07-14,Notebook Set,Stationery,6,12.6,75.6,Processing
ORD-0000186,CUST-009621,2024-03-30,Wireless Mouse,Electronics,3,31.45,94.35,Returned
ORD-0000187,CUST-000995,2025-07-08,Standing Desk,Furniture,4,423.86,1695.44,Completed
ORD-0000188,CUST-003688,2026-08-02,Ergonomic Chair,Furniture,6,253.24,1519.44,Shipped
ORD-0000189,CUST-007471,2026-04-02,Mechanical Keyboard,Electronics,2,87.7,175.4,Cancelled
ORD-0000190,CUST-003855,2023-08-23,Noise-Canceling Headphones,Electronics,1,186.12,186.12,Returned
ORD-0000191,CUST-004091,2023-03-05,Standing Desk,Furniture,2,410.2,820.4,Returned
ORD-0000192,CUST-000819,2026-05-08,Desk Organizer,Office,6,25.15,150.9,Shipped
ORD-0000193,CUST-007669,2026-09-04,Laptop Stand,Office,5,47.87,239.35,Completed
ORD-0000194,CUST-006787,2024-12-05,Ergonomic Chair,Furniture,5,253.51,1267.55,Returned
ORD-0000195,CUST-008916,2026-07-01,Water Bottle,Lifestyle,3,19.79,59.37,Completed
ORD-0000196,CUST-007445,2024-07-12,Ergonomic Chair,Furniture,5,258.6,1293,Shipped
ORD-0000197,CUST-004801,2025-01-28,Notebook Set,Stationery,1,13.18,13.18,Processing
ORD-0000198,CUST-009988,2025-03-03,Ergonomic Chair,Furniture,4,240.9,963.6,Processing
ORD-0000199,CUST-007835,2023-10-19,Noise-Canceling Headphones,Electronics,5,197.2,986,Completed
ORD-0000200,CUST-007061,2024-10-13,Notebook Set,Stationery,2,13.56,27.12,Completed
ORD-0000201,CUST-003378,2023-04-19,Ergonomic Chair,Furniture,5,230.8,1154,Processing
ORD-0000202,CUST-008951,2024-01-04,Desk Organizer,Office,1,23.85,23.85,Processing
ORD-0000203,CUST-008552,2025-02-01,Wireless Mouse,Electronics,5,28.5,142.5,Completed
ORD-0000204,CUST-008872,2025-11-13,USB-C Hub,Electronics,2,52.37,104.74,Returned
ORD-0000205,CUST-008863,2026-05-29,Desk Organizer,Office,5,26.74,133.7,Shipped
ORD-0000206,CUST-008693,2025-10-04,USB-C Hub,Electronics,3,49.37,148.11,Cancelled
ORD-0000207,CUST-001122,2026-01-01,Webcam,Electronics,5,71.95,359.75,Returned
ORD-0000208,CUST-004952,2025-10-02,Desk Organizer,Office,6,26.12,156.72,Processing
ORD-0000209,CUST-003751,2022-04-18,Laptop Stand,Office,5,49.15,245.75,Shipped
ORD-0000210,CUST-007486,2025-01-20,Mechanical Keyboard,Electronics,6,93.12,558.72,Completed
ORD-0000211,CUST-008089,2025-09-12,Desk Organizer,Office,5,25.19,125.95,Processing
ORD-0000212,CUST-005544,2023-05-22,Webcam,Electronics,1,71.14,71.14,Completed
ORD-0000213,CUST-006764,2026-03-05,Notebook Set,Stationery,3,13.97,41.91,Completed
ORD-0000214,CUST-008710,2025-04-02,Water Bottle,Lifestyle,5,17.52,87.6,Completed
ORD-0000215,CUST-007749,2024-09-26,Standing Desk,Furniture,4,416.53,1666.12,Shipped
ORD-0000216,CUST-002479,2026-07-31,Mechanical Keyboard,Electronics,2,86.51,173.02,Shipped
ORD-0000217,CUST-005178,2022-04-24,Webcam,Electronics,3,66.61,199.83,Completed
ORD-0000218,CUST-000840,2026-04-30,Noise-Canceling Headphones,Electronics,3,184.9,554.7,Completed
ORD-0000219,CUST-000532,2026-08-30,Desk Organizer,Office,6,25.18,151.08,Completed
ORD-0000220,CUST-000711,2022-06-30,Desk Organizer,Office,4,23.87,95.48,Cancelled
ORD-0000221,CUST-000270,2025-01-10,Noise-Canceling Headphones,Electronics,1,188.47,188.47,Cancelled
ORD-0000222,CUST-005545,2026-07-22,Standing Desk,Furniture,4,421.79,1687.16,Returned
ORD-0000223,CUST-008517,2025-02-02,Mechanical Keyboard,Electronics,6,85.18,511.08,Completed
ORD-0000224,CUST-007993,2026-04-10,Notebook Set,Stationery,3,13.96,41.88,Processing
ORD-0000225,CUST-005893,2026-03-11,Ergonomic Chair,Furniture,6,245.08,1470.48,Shipped
ORD-0000226,CUST-003921,2025-12-30,Standing Desk,Furniture,3,403.69,1211.07,Completed
ORD-0000227,CUST-008071,2025-10-11,Notebook Set,Stationery,6,11.49,68.94,Completed
ORD-0000228,CUST-002667,2026-07-27,Webcam,Electronics,1,70.83,70.83,Returned
ORD-0000229,CUST-000177,2025-10-10,Desk Organizer,Office,6,26.75,160.5,Completed
ORD-0000230,CUST-000847,2023-01-04,Ergonomic Chair,Furniture,3,228.87,686.61,Cancelled
ORD-0000231,CUST-005604,2026-08-11,Webcam,Electronics,5,79.94,399.7,Completed
ORD-0000232,CUST-009582,2026-03-10,Wireless Mouse,Electronics,2,29.02,58.04,Completed
ORD-0000233,CUST-000351,2025-12-15,USB-C Hub,Electronics,5,47.71,238.55,Processing
ORD-0000234,CUST-007465,2026-01-15,Mechanical Keyboard,Electronics,4,83.13,332.52,Completed
ORD-0000235,CUST-006464,2024-06-15,Standing Desk,Furniture,3,433.73,1301.19,Shipped
ORD-0000236,CUST-004135,2025-03-14,Desk Organizer,Office,6,22.99,137.94,Shipped
ORD-0000237,CUST-000693,2023-07-26,Noise-Canceling Headphones,Electronics,5,181.88,909.4,Completed
ORD-0000238,CUST-001783,2026-02-23,Desk Organizer,Office,5,23.7,118.5,Shipped
ORD-0000239,CUST-006940,2026-08-12,Water Bottle,Lifestyle,2,19.84,39.68,Completed
ORD-0000240,CUST-004443,2022-01-23,Ergonomic Chair,Furniture,5,266.97,1334.85,Completed
ORD-0000241,CUST-003603,2020-05-01,Noise-Canceling Headphones,Electronics,3,175.29,525.87,Processing
ORD-0000242,CUST-007411,2026-09-02,Mechanical Keyboard,Electronics,2,85.75,171.5,Returned
ORD-0000243,CUST-009406,2023-11-27,Noise-Canceling Headphones,Electronics,5,179.86,899.3,Completed
ORD-0000244,CUST-001634,2021-02-08,Mechanical Keyboard,Electronics,6,81.72,490.32,Returned
ORD-0000245,CUST-003807,2026-08-20,Noise-Canceling Headphones,Electronics,3,162.91,488.73,Completed
ORD-0000246,CUST-000412,2026-01-12,Noise-Canceling Headphones,Electronics,3,179.93,539.79,Shipped
ORD-0000247,CUST-000580,2021-05-18,Wireless Mouse,Electronics,5,29.34,146.7,Cancelled
ORD-0000248,CUST-008262,2024-02-29,USB-C Hub,Electronics,6,51.83,310.98,Completed
ORD-0000249,CUST-005672,2026-07-19,Wireless Mouse,Electronics,1,31.64,31.64,Cancelled
ORD-0000250,CUST-004282,2023-12-04,Laptop Stand,Office,4,40.98,163.92,Processing
ORD-0000251,CUST-002909,2023-11-10,Laptop Stand,Office,1,41.03,41.03,Completed
ORD-0000252,CUST-004857,2020-07-15,Webcam,Electronics,3,76.27,228.81,Completed
ORD-0000253,CUST-003667,2026-07-11,USB-C Hub,Electronics,3,53.23,159.69,Returned
ORD-0000254,CUST-003060,2025-11-20,Ergonomic Chair,Furniture,2,233.79,467.58,Cancelled
ORD-0000255,CUST-009084,2025-12-01,Wireless Mouse,Electronics,3,30.6,91.8,Processing
ORD-0000256,CUST-004585,2024-05-15,Laptop Stand,Office,2,41.4,82.8,Completed
ORD-0000257,CUST-005925,2025-07-01,Water Bottle,Lifestyle,1,17.85,17.85,Cancelled
ORD-0000258,CUST-002553,2024-10-14,Noise-Canceling Headphones,Electronics,1,183.76,183.76,Completed
ORD-0000259,CUST-009673,2022-08-11,Mechanical Keyboard,Electronics,5,94.19,470.95,Shipped
ORD-0000260,CUST-006046,2024-08-16,Water Bottle,Lifestyle,3,18.65,55.95,Shipped
ORD-0000261,CUST-000954,2024-08-13,Standing Desk,Furniture,2,383.44,766.88,Returned
ORD-0000262,CUST-009697,2025-12-05,Standing Desk,Furniture,1,407.82,407.82,Shipped
ORD-0000263,CUST-003886,2025-10-27,Standing Desk,Furniture,1,400.13,400.13,Returned
ORD-0000264,CUST-004193,2025-10-02,Laptop Stand,Office,6,44.67,268.02,Completed
ORD-0000265,CUST-007450,2025-04-22,Mechanical Keyboard,Electronics,2,97.67,195.34,Cancelled
ORD-0000266,CUST-000031,2025-12-16,Ergonomic Chair,Furniture,3,230.35,691.05,Shipped
ORD-0000267,CUST-003461,2026-03-24,Laptop Stand,Office,5,48.53,242.65,Completed
ORD-0000268,CUST-009369,2024-10-01,Laptop Stand,Office,6,44.37,266.22,Processing
ORD-0000269,CUST-007257,2024-10-25,Ergonomic Chair,Furniture,4,229.06,916.24,Returned
ORD-0000270,CUST-003310,2025-12-11,Desk Organizer,Office,6,24.18,145.08,Completed
ORD-0000271,CUST-009675,2026-07-03,Ergonomic Chair,Furniture,4,233.7,934.8,Processing
ORD-0000272,CUST-004480,2026-04-28,Laptop Stand,Office,4,41.86,167.44,Completed
ORD-0000273,CUST-001431,2024-11-11,Backpack,Lifestyle,1,59.49,59.49,Shipped
ORD-0000274,CUST-007227,2022-06-16,Laptop Stand,Office,2,47.54,95.08,Completed
ORD-0000275,CUST-003479,2024-11-16,Mechanical Keyboard,Electronics,3,87.73,263.19,Cancelled
ORD-0000276,CUST-000289,2025-05-29,Water Bottle,Lifestyle,1,18.66,18.66,Completed
ORD-0000277,CUST-009448,2022-12-16,Wireless Mouse,Electronics,1,30.74,30.74,Returned
ORD-0000278,CUST-009278,2025-10-16,Water Bottle,Lifestyle,2,20.13,40.26,Cancelled
ORD-0000279,CUST-008763,2022-07-16,Desk Organizer,Office,5,22.26,111.3,Processing
ORD-0000280,CUST-008827,2025-10-26,USB-C Hub,Electronics,1,53.82,53.82,Returned
